Altitude (m),Vertical velocity (m/s)
1576.657,7.108
1577,6.623
1577.319,6.138
1577.614,5.653
1577.884,5.169
1578.131,4.684
1578.353,4.2
1578.551,3.715
1578.724,3.231
1578.874,2.746
1578.999,2.262
1579.1,1.777
1579.177,1.292
1579.229,0.806
1579.257,0.32
1579.261,-0.166
1579.241,-0.652
1579.237,-0.699
1577.673,-5.557
1573.748,-10.145
1567.591,-14.484
1559.33,-18.56
1549.095,-22.379
1537.026,-25.895
1523.278,-29.098
1508.006,-31.988
1491.368,-34.565
1473.518,-36.835
1454.606,-38.813
1434.771,-40.528
1414.136,-42.014
1392.815,-43.27
1370.913,-44.34
1348.519,-45.233
1325.719,-45.97
1302.582,-46.577
1279.168,-47.078
1255.527,-47.487
1231.7,-47.818
1207.726,-48.08
1183.634,-48.287
1159.45,-48.449
1135.195,-48.571
1110.886,-48.666
1086.536,-48.734
1062.158,-48.777
1037.764,-48.801
1013.36,-48.813
988.954,-48.814
964.55,-48.801
940.154,-48.783
915.769,-48.757
891.398,-48.728
867.042,-48.694
842.704,-48.657
818.385,-48.618
794.087,-48.575
769.81,-48.531
745.557,-48.484
721.326,-48.437
697.12,-48.389
672.938,-48.339
648.781,-48.289
624.649,-48.238
600.543,-48.187
576.462,-48.136
552.406,-48.085
528.377,-48.034
504.373,-47.982
480.394,-47.931
456.442,-47.88
432.514,-47.829
408.612,-47.779
384.735,-47.728
360.884,-47.678
337.057,-47.628
313.256,-47.578
289.479,-47.529
265.726,-47.484
241.995,-47.441
218.284,-47.401
194.594,-47.362
170.922,-47.325
147.269,-47.289
147.222,-46.603
147.176,-45.936
147.13,-45.289
147.085,-44.661
147.041,-44.05
146.997,-43.456
146.954,-42.878
146.911,-42.315
146.869,-41.768
146.828,-41.234
146.787,-40.715
146.746,-40.209
146.706,-39.715
146.667,-39.234
146.628,-38.765
146.589,-38.307
146.551,-37.86
146.514,-37.424
146.476,-36.998
146.44,-36.581
146.403,-36.175
146.367,-35.777
146.332,-35.388
146.296,-35.008
146.262,-34.637
146.227,-34.273
146.193,-33.917
146.159,-33.569
146.126,-33.228
146.093,-32.894
146.06,-32.567
146.028,-32.247
145.996,-31.933
145.964,-31.625
145.932,-31.324
145.901,-31.028
145.87,-30.738
145.84,-30.454
145.809,-30.175
145.779,-29.901
145.75,-29.633
145.72,-29.369
145.691,-29.111
145.662,-28.857
145.633,-28.607
145.605,-28.362
145.576,-28.122
145.548,-27.885
145.521,-27.653
145.493,-27.425
145.466,-27.201
145.439,-26.98
145.412,-26.763
145.385,-26.55
145.359,-26.34
145.332,-26.134
145.306,-25.931
145.281,-25.732
145.255,-25.536
145.229,-25.342
145.204,-25.152
145.179,-24.965
145.154,-24.781
145.13,-24.6
145.105,-24.421
145.081,-24.245
145.057,-24.072
145.033,-23.901
145.009,-23.733
144.985,-23.568
144.962,-23.405
144.938,-23.244
144.915,-23.086
144.892,-22.929
144.869,-22.776
144.847,-22.624
144.824,-22.474
144.802,-22.327
144.779,-22.182
144.757,-22.038
144.735,-21.897
144.714,-21.757
144.692,-21.62
144.67,-21.484
144.649,-21.35
144.628,-21.218
144.606,-21.088
144.585,-20.959
144.565,-20.832
144.544,-20.707
144.523,-20.583
144.503,-20.461
144.482,-20.341
144.462,-20.222
144.442,-20.104
144.422,-19.988
144.402,-19.873
144.382,-19.76
144.362,-19.649
144.343,-19.538
144.323,-19.429
144.304,-19.321
144.285,-19.215
144.265,-19.11
144.246,-19.006
144.227,-18.903
144.208,-18.802
144.19,-18.702
144.171,-18.603
144.153,-18.505
144.134,-18.408
144.116,-18.312
144.097,-18.218
144.079,-18.124
144.061,-18.032
144.043,-17.94
144.025,-17.85
144.008,-17.76
143.99,-17.671
143.972,-17.581
143.953,-17.491
143.935,-17.401
143.916,-17.31
143.897,-17.218
143.878,-17.126
143.859,-17.034
143.839,-16.941
143.819,-16.848
143.799,-16.754
143.779,-16.659
143.758,-16.564
143.737,-16.469
143.716,-16.373
143.695,-16.276
143.673,-16.179
143.651,-16.082
143.629,-15.983
143.606,-15.885
143.583,-15.785
143.56,-15.685
143.537,-15.585
143.513,-15.483
143.489,-15.382
143.464,-15.279
143.439,-15.176
143.414,-15.072
143.388,-14.967
143.362,-14.862
143.335,-14.756
143.308,-14.65
143.281,-14.542
143.253,-14.434
143.224,-14.325
143.195,-14.215
143.166,-14.105
143.136,-13.993
143.105,-13.881
143.074,-13.768
143.042,-13.654
143.01,-13.539
142.977,-13.424
142.943,-13.307
142.909,-13.189
142.874,-13.071
142.838,-12.951
142.801,-12.83
142.764,-12.709
142.725,-12.586
142.686,-12.462
142.646,-12.337
142.605,-12.211
142.562,-12.083
142.519,-11.955
142.474,-11.825
142.429,-11.693
142.382,-11.561
142.333,-11.427
142.283,-11.291
142.232,-11.154
142.179,-11.016
142.124,-10.876
142.068,-10.734
142.009,-10.591
141.948,-10.446
141.885,-10.299
141.82,-10.151
141.752,-10
141.681,-9.847
141.607,-9.693
141.529,-9.536
141.448,-9.377
141.363,-9.216
141.273,-9.053
141.179,-8.887
141.079,-8.719
140.973,-8.549
140.86,-8.376
140.739,-8.2
140.609,-8.022
140.469,-7.841
140.317,-7.657
140.149,-7.469
139.967,-7.282
139.763,-7.092
139.533,-6.899
139.267,-6.702
138.958,-6.506
138.59,-6.311
138.188,-6.143
137.591,-5.95
136.821,-5.788
135.558,-5.647
133.433,-5.594
130.63,-5.618
127.827,-5.596
125.024,-5.616
122.22,-5.6
