Altitude (m),Vertical velocity (m/s)
1454.389,-7.441
1451.571,-10.168
1446.44,-13.66
1438.658,-17.468
1429.037,-21.016
1417.704,-24.319
1404.78,-27.376
1390.394,-30.169
1374.672,-32.716
1357.743,-35
1339.734,-37.038
1320.762,-38.849
1300.944,-40.424
1280.39,-41.793
1259.198,-42.972
1237.46,-43.981
1215.257,-44.83
1192.665,-45.54
1169.744,-46.143
1146.548,-46.64
1123.125,-47.052
1099.514,-47.39
1075.751,-47.662
1051.864,-47.884
1027.878,-48.06
1003.814,-48.196
979.691,-48.299
955.523,-48.372
931.324,-48.426
907.102,-48.459
882.868,-48.477
858.628,-48.483
834.388,-48.478
810.152,-48.467
785.923,-48.448
761.705,-48.424
737.5,-48.395
713.311,-48.361
689.14,-48.323
664.989,-48.282
640.859,-48.238
616.751,-48.193
592.666,-48.147
568.604,-48.1
544.566,-48.052
520.552,-48.004
496.562,-47.955
472.597,-47.906
448.656,-47.857
424.74,-47.808
400.848,-47.758
376.982,-47.709
353.14,-47.659
329.323,-47.61
305.53,-47.56
281.762,-47.513
258.016,-47.469
234.292,-47.427
210.589,-47.387
186.905,-47.349
163.239,-47.313
139.592,-47.277
139.545,-46.591
139.499,-45.925
139.453,-45.278
139.408,-44.649
139.364,-44.038
139.32,-43.444
139.277,-42.866
139.234,-42.304
139.192,-41.756
139.151,-41.223
139.11,-40.704
139.069,-40.198
139.029,-39.704
138.99,-39.223
138.951,-38.754
138.912,-38.296
138.874,-37.849
138.837,-37.413
138.799,-36.987
138.763,-36.571
138.726,-36.164
138.69,-35.767
138.655,-35.378
138.62,-34.998
138.585,-34.626
138.55,-34.263
138.516,-33.907
138.483,-33.559
138.449,-33.218
138.416,-32.884
138.383,-32.557
138.351,-32.237
138.319,-31.923
138.287,-31.616
138.256,-31.314
138.225,-31.019
138.194,-30.729
138.163,-30.444
138.133,-30.166
138.103,-29.892
138.073,-29.624
138.043,-29.36
138.014,-29.101
137.985,-28.848
137.957,-28.598
137.928,-28.353
137.9,-28.113
137.872,-27.876
137.844,-27.644
137.817,-27.416
137.789,-27.192
137.762,-26.971
137.735,-26.755
137.709,-26.541
137.682,-26.332
137.656,-26.126
137.63,-25.923
137.604,-25.723
137.579,-25.527
137.553,-25.334
137.528,-25.144
137.503,-24.957
137.478,-24.773
137.453,-24.591
137.429,-24.413
137.404,-24.237
137.38,-24.064
137.356,-23.893
137.332,-23.725
137.309,-23.56
137.285,-23.397
137.262,-23.236
137.239,-23.078
137.216,-22.922
137.193,-22.768
137.17,-22.616
137.148,-22.467
137.125,-22.319
137.103,-22.174
137.081,-22.031
137.059,-21.889
137.037,-21.75
137.016,-21.612
136.994,-21.477
136.973,-21.343
136.951,-21.211
136.93,-21.081
136.909,-20.952
136.888,-20.825
136.868,-20.7
136.847,-20.576
136.826,-20.454
136.806,-20.334
136.786,-20.215
136.766,-20.097
136.746,-19.981
136.726,-19.867
136.706,-19.753
136.686,-19.642
136.667,-19.531
136.647,-19.422
136.628,-19.315
136.608,-19.208
136.589,-19.103
136.57,-18.999
136.551,-18.897
136.532,-18.795
136.514,-18.695
136.495,-18.596
136.476,-18.498
136.458,-18.401
136.44,-18.306
136.421,-18.211
136.403,-18.118
136.385,-18.025
136.367,-17.934
136.349,-17.843
136.332,-17.754
136.314,-17.665
136.296,-17.575
136.277,-17.485
136.259,-17.395
136.24,-17.304
136.221,-17.212
136.202,-17.12
136.183,-17.028
136.163,-16.935
136.143,-16.841
136.123,-16.748
136.103,-16.653
136.082,-16.558
136.061,-16.463
136.04,-16.367
136.019,-16.27
135.997,-16.173
135.975,-16.076
135.953,-15.977
135.93,-15.879
135.908,-15.779
135.884,-15.679
135.861,-15.579
135.837,-15.477
135.813,-15.375
135.788,-15.273
135.763,-15.17
